ID,Suburb,Address,Postcode,CouncilArea,Regionname,Price,SaleDate,Seller,Bedrooms,Bathrooms,CarSpaces,Landsize,Latitude,Longitude
52,Bundoora,22 Alma Rd,3083,Banyule,Northern Metropolitan,800000,22/07/2017,Ray,4,1,1,535,-37.69847,145.0601
53,Watsonia North,8 Meakin St,3087,Banyule,Northern Metropolitan,705000,27/05/2017,Barry,3,1,1,538,-37.70178,145.0851
54,Bundoora,398 Grimshaw St,3083,Banyule,Northern Metropolitan,680000,22/07/2017,Barry,3,1,3,539,-37.7015,145.07548
55,Greensborough,48 Duncan Av,3088,Banyule,Northern Metropolitan,690000,15/07/2017,Darren,3,1,1,540,-37.71055,145.09594
56,Bundoora,27 Norfolk Cr,3083,Banyule,Northern Metropolitan,710000,15/07/2017,Darren,3,1,1,540,-37.70636,145.05462
57,Watsonia North,66 MacOrna St,3087,Banyule,Northern Metropolitan,710000,27/05/2017,Barry,4,1,3,541,-37.69778,145.08516
58,Viewbank,28 Kuranga Rd,3084,Banyule,Eastern Metropolitan,940000,17/06/2017,Nelson,3,2,2,541,-37.73136,145.09562
59,Heidelberg Heights,23 Eden St,3081,Banyule,Eastern Metropolitan,680000,12/08/2017,Barry,3,1,0,544,-37.75024,145.04798
60,Bundoora,50 Cameron Pde,3083,Banyule,Northern Metropolitan,687000,17/06/2017,Ray,3,1,3,559,-37.69849,145.06705
61,Rosanna,16 Jones Cr,3084,Banyule,Eastern Metropolitan,855000,15/07/2017,Miles,2,1,1,562,-37.73867,145.07697
62,Montmorency,35 Astley St,3094,Banyule,Eastern Metropolitan,900000,27/05/2017,Barry,3,1,1,575,-37.72089,145.11987
63,Greensborough,5 Glenice St,3088,Banyule,Northern Metropolitan,740000,27/05/2017,Darren,3,1,3,580,-37.71536,145.10205
64,Bundoora,71 Wallara Cr,3083,Banyule,Northern Metropolitan,660000,8/07/2017,Buckingham,3,1,2,582,-37.70301,145.06341
65,Greensborough,18 Warruga Pl,3088,Banyule,Northern Metropolitan,1010000,15/07/2017,Buckingham,3,2,2,582,-37.71325,145.09532
66,Heidelberg Heights,31 Collins St,3081,Banyule,Eastern Metropolitan,800000,27/05/2017,Barry,3,1,0,583,-37.73752,145.05228
67,Ivanhoe,83 Oriel Rd,3079,Banyule,Eastern Metropolitan,1035000,24/06/2017,Miles,3,1,2,585,-37.75725,145.03744
68,Heidelberg Heights,97 Edwin St,3081,Banyule,Eastern Metropolitan,1645000,12/08/2017,Fletchers,4,2,4,596,-37.75008,145.05051
69,Briar Hill,1A Campbell Rd,3088,Banyule,Eastern Metropolitan,710500,17/06/2017,Barry,2,1,1,598,-37.70681,145.11731
70,Watsonia,18 Barry St,3087,Banyule,Northern Metropolitan,830000,22/07/2017,Barry,3,1,1,598,-37.717,145.08891
71,Eaglemont,104 Studley Rd,3084,Banyule,Eastern Metropolitan,1440000,15/07/2017,Miles,3,1,2,598,-37.76093,145.056
72,Heidelberg West,26 Bardia St,3081,Banyule,Eastern Metropolitan,735000,22/07/2017,Harcourts,2,1,4,600,-37.74798,145.03765
73,Watsonia North,27 Kurrajong Cr,3087,Banyule,Northern Metropolitan,710000,22/07/2017,Ray,3,1,2,600,-37.69872,145.08743
74,Yallambie,34 Aminya Cr,3085,Banyule,Northern Metropolitan,743500,8/07/2017,Buckingham,4,2,4,600,-37.72788,145.10456
75,Greensborough,142 Elder St,3088,Banyule,Northern Metropolitan,815000,12/08/2017,Nelson,3,2,2,609,-37.71636,145.09792
76,Bundoora,12 Norwood Ct,3083,Banyule,Northern Metropolitan,730000,8/07/2017,Barry,3,1,1,612,-37.70602,145.05945
77,Watsonia North,33 MacOrna St,3087,Banyule,Northern Metropolitan,755000,29/07/2017,HAR,4,1,2,613,-37.7002,145.08434
78,Eaglemont,129 Banksia St,3084,Banyule,Eastern Metropolitan,1300000,8/07/2017,Nelson,3,1,2,615,-37.75825,145.05438
79,Montmorency,50 Kirwana Gr,3094,Banyule,Eastern Metropolitan,700000,27/05/2017,Barry,3,1,3,615,-37.72588,145.13443
80,Greensborough,4 Alexandra St,3088,Banyule,Northern Metropolitan,1050000,24/06/2017,Morrison,5,3,3,616,-37.70557,145.10859
81,Bellfield,9 Sullivan St,3081,Banyule,Eastern Metropolitan,906000,22/07/2017,Miles,2,1,1,617,-37.7528,145.04444
82,Ivanhoe East,8 Carmichael St,3079,Banyule,Eastern Metropolitan,1640000,27/05/2017,Nelson,3,1,2,617,-37.77212,145.05813
83,Yallambie,8 MacAlister Bvd,3085,Banyule,Northern Metropolitan,1670000,3/06/2017,Barry,5,3,2,617,-37.71992,145.0988
84,Heidelberg Heights,564 Waterdale Rd,3081,Banyule,Eastern Metropolitan,810000,12/08/2017,Ray,3,1,3,619,-37.73586,145.04908
85,Ivanhoe,207 Waterdale Rd,3079,Banyule,Eastern Metropolitan,1320000,8/07/2017,Miles,2,1,0,620,-37.76091,145.04437
86,Rosanna,6 Douglas St,3084,Banyule,Eastern Metropolitan,1185000,27/05/2017,Barry,4,2,1,625,-37.74301,145.07149
87,Greensborough,13 Stowe Av,3088,Banyule,Northern Metropolitan,800000,15/07/2017,Darren,4,2,2,626,-37.70859,145.10464
88,Bundoora,43 Cheadle Cr,3083,Banyule,Northern Metropolitan,999000,22/07/2017,Ray,5,2,2,627,-37.69264,145.0799
89,Yallambie,3 Sirius Ct,3085,Banyule,Northern Metropolitan,852000,24/06/2017,Barry,3,2,2,629,-37.73058,145.08705
90,Heidelberg,57 Quinn St,3084,Banyule,Eastern Metropolitan,1230000,17/06/2017,Nelson,4,1,2,630,-37.74863,145.07202
91,Watsonia,11 Eclipse Cr,3087,Banyule,Northern Metropolitan,788800,12/08/2017,Barry,4,2,4,631,-37.7156,145.08875
92,Montmorency,6 Wooded Wy,3094,Banyule,Eastern Metropolitan,1301000,15/07/2017,Buckingham,3,2,2,636,-37.72198,145.12581
93,Ivanhoe,25 Fairy St,3079,Banyule,Eastern Metropolitan,2530000,29/07/2017,Miles,4,2,0,637,-37.77671,145.04005
94,Heidelberg Heights,67 McEwan Rd,3081,Banyule,Eastern Metropolitan,1010000,27/05/2017,Haughton,3,1,2,648,-37.73658,145.05341
95,Greensborough,54 Warralong Av,3088,Banyule,Northern Metropolitan,896000,15/07/2017,Fletchers,3,2,1,653,-37.71846,145.09689
96,Viewbank,178 Graham Rd,3084,Banyule,Eastern Metropolitan,825000,24/06/2017,Barry,3,1,0,658,-37.73346,145.08359
97,Bundoora,5 Cole Ct,3083,Banyule,Northern Metropolitan,769000,24/06/2017,Barry,4,2,2,662,-37.69582,145.07639
98,Heidelberg,32 Powlett St,3084,Banyule,Eastern Metropolitan,1250000,12/08/2017,Miles,3,1,0,668,-37.75212,145.05945
99,Ivanhoe,62 Hawker St,3079,Banyule,Eastern Metropolitan,1510000,8/07/2017,Nelson,3,1,2,670,-37.75973,145.03808
100,Heidelberg West,129 Outhwaite Rd,3081,Banyule,Eastern Metropolitan,875000,24/06/2017,Haughton,2,1,3,671,-37.73902,145.04529
101,Bellfield,124 Oriel Rd,3081,Banyule,Eastern Metropolitan,780000,27/05/2017,Haughton,3,1,2,680,-37.75255,145.03972
102,Heidelberg,100 Buckingham Dr,3084,Banyule,Eastern Metropolitan,1430000,8/07/2017,Miles,4,2,3,680,-37.74605,145.08504
103,Heidelberg Heights,21 Eden St,3081,Banyule,Eastern Metropolitan,650000,12/08/2017,Barry,2,1,0,683,-37.75022,145.04778
104,Rosanna,7 Pilgrim Ct,3084,Banyule,Eastern Metropolitan,1170000,12/08/2017,Miles,5,3,3,694,-37.73968,145.07973
105,Watsonia,60 Princes St,3087,Banyule,Northern Metropolitan,830000,17/06/2017,Miles,3,1,2,696,-37.70576,145.07788
106,Ivanhoe East,82 McArthur Rd,3079,Banyule,Eastern Metropolitan,1601000,15/07/2017,Haughton,2,1,2,697,-37.77345,145.06098
107,Rosanna,157 Bellevue Av,3084,Banyule,Eastern Metropolitan,1400000,12/08/2017,Fletchers,3,2,2,697,-37.73165,145.06564
108,Watsonia,28 Grace St,3087,Banyule,Northern Metropolitan,1010000,17/06/2017,Buckingham,3,1,2,700,-37.70994,145.07997
109,Montmorency,17 Virginia Ct,3094,Banyule,Eastern Metropolitan,980000,27/05/2017,Barry,4,3,2,701,-37.71871,145.13559
110,Viewbank,32 Sherlowe Cr,3084,Banyule,Eastern Metropolitan,1295000,12/08/2017,Miles,4,2,2,702,-37.73226,145.09855
111,Heidelberg West,2 Maple Ct,3081,Banyule,Eastern Metropolitan,820000,15/07/2017,Barry,2,1,1,721,-37.74371,145.04161
112,Ivanhoe,49 Carn Av,3079,Banyule,Eastern Metropolitan,2100000,8/07/2017,Upper,5,3,2,740,-37.76086,145.05177
113,Greensborough,53 Narbethong Dr,3088,Banyule,Northern Metropolitan,866000,8/07/2017,hockingstuart,3,2,2,743,-37.71733,145.09622
114,Ivanhoe East,12 Wilfred Rd,3079,Banyule,Eastern Metropolitan,1853000,17/06/2017,Ray,2,2,2,751,-37.77521,145.05426
115,Bellfield,4 Erica Ct,3081,Banyule,Eastern Metropolitan,1006000,12/08/2017,Barry,3,1,0,758,-37.75315,145.04062
116,Watsonia North,59 Sellars St,3087,Banyule,Northern Metropolitan,850000,22/07/2017,Darren,3,1,2,766,-37.69821,145.08995
117,Watsonia North,57 Sellars St,3087,Banyule,Northern Metropolitan,800000,24/06/2017,Buckingham,4,2,3,777,-37.69837,145.08992
118,Ivanhoe,11 Athelstane Gr,3079,Banyule,Eastern Metropolitan,2380000,24/06/2017,Jellis,4,2,2,778,-37.76356,145.04135
119,Montmorency,8 Grand Bvd,3094,Banyule,Eastern Metropolitan,881100,12/08/2017,Buckingham,3,2,4,786,-37.72532,145.12488
120,Greensborough,50 Albion Cr,3088,Banyule,Northern Metropolitan,770000,29/07/2017,Darren,4,2,2,789,-37.69646,145.12163
121,Greensborough,3 Perrumba St,3088,Banyule,Northern Metropolitan,880000,24/06/2017,Barry,5,3,2,789,-37.69817,145.12852
122,Lower Plenty,54 Edwards St,3093,Banyule,Eastern Metropolitan,1129000,29/07/2017,Fletchers,4,2,2,792,-37.72608,145.12115
123,Eltham North,99 Weidlich Rd,3095,Banyule,Eastern Metropolitan,925000,27/05/2017,Barry,4,2,2,796,-37.69771,145.1349
124,Greensborough,12 Yangoora Pl,3088,Banyule,Northern Metropolitan,900000,29/07/2017,Morrison,4,3,1,807,-37.70077,145.12743
125,Heidelberg,15 Adamson St,3084,Banyule,Eastern Metropolitan,1515000,22/07/2017,Miles,3,1,3,827,-37.74776,145.06217
126,Eltham North,28 Weidlich Rd,3095,Banyule,Eastern Metropolitan,792000,8/07/2017,Barry,4,2,2,836,-37.70115,145.12855
127,Montmorency,12 Aanensen Ct,3094,Banyule,Eastern Metropolitan,1130000,27/05/2017,Barry,3,2,2,842,-37.72096,145.12948
128,Montmorency,146 Sherbourne Rd,3094,Banyule,Eastern Metropolitan,755000,24/06/2017,Buckingham,3,1,2,848,-37.71287,145.132
129,Lower Plenty,14 Glenauburn Rd,3093,Banyule,Eastern Metropolitan,800000,17/06/2017,Barry,5,2,2,864,-37.72754,145.11021
130,Briar Hill,31 Boyce Av,3088,Banyule,Eastern Metropolitan,830000,12/08/2017,Buckingham,3,1,2,905,-37.7063,145.12215
131,Watsonia North,280 Grimshaw St,3087,Banyule,Northern Metropolitan,740000,15/07/2017,Barry,3,1,2,909,-37.70255,145.08578
132,Greensborough,14 Wolangi Ct,3088,Banyule,Northern Metropolitan,1028000,8/07/2017,Morrison,4,3,4,925,-37.69261,145.1105
133,St Helena,14 Covala Ct,3088,Banyule,Eastern Metropolitan,805000,15/07/2017,Darren,3,1,0,930,-37.6939,145.12899
134,Montmorency,30 Astley St,3094,Banyule,Eastern Metropolitan,1050000,27/05/2017,Buckingham,4,2,1,973,-37.72082,145.12027
135,Ivanhoe,6 Carn Av,3079,Banyule,Eastern Metropolitan,2250000,29/07/2017,Nelson,4,2,2,1011,-37.76231,145.05138
136,Greensborough,67 Alexandra St,3088,Banyule,Northern Metropolitan,1326000,24/06/2017,Nelson,3,1,2,1020,-37.70821,145.10405
137,Greensborough,15 Carnon St,3088,Banyule,Northern Metropolitan,895000,24/06/2017,Morrison,3,2,2,1036,-37.69538,145.11543
138,Greensborough,22 Yangoora Pl,3088,Banyule,Northern Metropolitan,925000,24/06/2017,Nelson,4,2,2,1070,-37.69999,145.1279
139,Ivanhoe,19 Belmont Rd,3079,Banyule,Eastern Metropolitan,2400000,12/08/2017,Fletchers,2,1,0,1110,-37.76778,145.03312
140,Montmorency,19 Davey Rd,3094,Banyule,Eastern Metropolitan,1160000,27/05/2017,Ray,3,2,1,1125,-37.71541,145.11666
141,Eaglemont,10 Silverdale Rd,3084,Banyule,Eastern Metropolitan,2270000,17/06/2017,Miles,3,1,2,1143,-37.76774,145.05303
142,Rosanna,7 Hylton Cr,3084,Banyule,Eastern Metropolitan,1310000,15/07/2017,Fletchers,2,1,1,1313,-37.74694,145.07048
143,St Helena,11 Erinne Ct,3088,Banyule,Eastern Metropolitan,1387000,27/05/2017,Morrison,5,3,3,1348,-37.68508,145.1395
144,Eaglemont,18 Carlsberg Rd,3084,Banyule,Eastern Metropolitan,3300000,29/07/2017,Miles,4,2,3,1783,-37.76457,145.06555
145,Heidelberg,8/75 Hawdon St,3084,Banyule,Eastern Metropolitan,450000,12/08/2017,Mason,2,1,0,2020,-37.75692,145.06426
146,Heidelberg,7/74 Hawdon St,3084,Banyule,Eastern Metropolitan,534000,8/07/2017,Miles,2,1,1,2033,-37.75715,145.06463
147,Albion,8/6 Ridley St,3020,Brimbank,Western Metropolitan,145000,28/05/2016,Biggin,1,1,1,36,-37.7833,144.8266
148,Albion,3/14 Ridley St,3020,Brimbank,Western Metropolitan,300000,11/02/2017,FN,2,1,1,74,-37.7836,144.8256
149,Albion,25 Brisbane St,3020,Brimbank,Western Metropolitan,463000,24/09/2016,Barry,2,1,1,199,-37.7761,144.8164
150,Albion,2/32 Forrest St,3020,Brimbank,Western Metropolitan,560000,25/02/2017,Douglas,3,2,7,420,-37.7848,144.8231
151,Albion,28 Selwyn St,3020,Brimbank,Western Metropolitan,541000,27/06/2016,Barry,2,1,1,497,-37.7806,144.8159
152,Albion,12 Coolamon St,3020,Brimbank,Western Metropolitan,600000,22/05/2016,Barry,2,1,1,534,-37.7795,144.8204
153,Albion,13 Gunnedah St,3020,Brimbank,Western Metropolitan,760000,27/11/2016,Village,3,1,2,534,-37.7789,144.8209
154,Albion,20 Hutchinson St,3020,Brimbank,Western Metropolitan,625000,25/02/2017,FN,3,1,0,695,-37.7808,144.8186
155,Albion,27 Burnewang St,3020,Brimbank,Western Metropolitan,670000,15/10/2016,Barry,2,1,2,697,-37.7835,144.8176
156,Albion,48 Sydney St,3020,Brimbank,Western Metropolitan,840000,27/11/2016,Barry,3,1,0,697,-37.7809,144.8228
157,Albion,13 Maylands St,3020,Brimbank,Western Metropolitan,685000,18/03/2017,Barry,3,1,1,697,-37.7765,144.8175
158,Albion,70 Forrest St,3020,Brimbank,Western Metropolitan,600000,22/05/2016,Sweeney,3,1,1,697,-37.7842,144.8175
159,Albion,53 Adelaide St,3020,Brimbank,Western Metropolitan,660000,25/02/2017,Douglas,4,1,1,697,-37.7795,144.8196
160,Albion,60 Sydney St,3020,Brimbank,Western Metropolitan,720000,10/12/2016,Sweeney,3,1,1,706,-37.7801,144.8229
161,Albion,16 Selwyn St,3020,Brimbank,Western Metropolitan,791000,25/02/2017,Bells,3,1,3,743,-37.7817,144.8159
162,Albion,25 Sydney St,3020,Brimbank,Western Metropolitan,816000,10/09/2016,Bells,4,1,2,837,-37.7825,144.8221
163,Albion,10/117 Anderson Rd,3020,Brimbank,Western Metropolitan,185000,22/08/2016,hockingstuart,1,1,1,2347,-37.7852,144.8272
164,Preston,1/584 Murray Rd,3072,Darebin,Northern Metropolitan,560000,29/04/2017,Nelson,2,1,2,196,-37.7362,144.9885
165,Reservoir,3/138 Rathcown Rd,3073,Darebin,Northern Metropolitan,815000,8/04/2017,Barry,3,2,2,213,-37.7085,145.018
166,Preston,60 Carlisle St,3072,Darebin,Northern Metropolitan,1108000,22/04/2017,McGrath,2,1,0,258,-37.7521,145.0071
167,Reservoir,1/4 Kenilworth St,3073,Darebin,Northern Metropolitan,631000,8/04/2017,Barry,3,1,1,267,-37.714,145.007
168,Preston,460 Bell St,3072,Darebin,Northern Metropolitan,630000,29/04/2017,Barry,2,1,1,319,-37.7442,144.9958
169,Reservoir,2/144 Hickford St,3073,Darebin,Northern Metropolitan,615000,6/05/2017,Barry,3,1,2,320,-37.7018,145.0134
170,Preston,47 Youngman St,3072,Darebin,Northern Metropolitan,800000,20/05/2017,Nelson,2,1,1,405,-37.7356,145.0087
171,Reservoir,1 Delaware St,3073,Darebin,Northern Metropolitan,861500,13/05/2017,Nelson,2,1,1,419,-37.721,145.016
172,Reservoir,22 Wilson Bvd,3073,Darebin,Northern Metropolitan,610000,8/04/2017,Barry,3,1,2,435,-37.7054,144.9945
173,Preston,2 Bruce St,3072,Darebin,Northern Metropolitan,2300000,22/04/2017,McGrath,2,1,2,465,-37.7424,145.0026
174,Preston,227 Wood St,3072,Darebin,Northern Metropolitan,1010000,22/04/2017,Nelson,3,1,2,486,-37.7341,145.0096
175,Reservoir,18 Zinnia St,3073,Darebin,Northern Metropolitan,595000,6/05/2017,Barry,3,1,1,490,-37.7152,144.9817
176,Reservoir,37 Vale St,3073,Darebin,Northern Metropolitan,935000,8/04/2017,Love,2,1,1,537,-37.7269,144.988
177,Reservoir,6 Greenock St,3073,Darebin,Northern Metropolitan,725000,6/05/2017,Barry,3,1,1,547,-37.7039,145.0226
178,Reservoir,21 Henty St,3073,Darebin,Northern Metropolitan,801000,13/05/2017,Love,3,1,1,551,-37.7194,145.0015
179,Preston,21 Robeson St,3072,Darebin,Northern Metropolitan,1110000,20/05/2017,Nelson,4,1,2,556,-37.7489,144.9861
180,Preston,72 McNamara St,3072,Darebin,Northern Metropolitan,1055000,29/04/2017,Nelson,3,1,2,575,-37.7288,144.9849
181,Preston,6 Adams St,3072,Darebin,Northern Metropolitan,690000,29/04/2017,RW,3,1,2,581,-37.7536,145.0191
182,Reservoir,96b Cheddar Rd,3073,Darebin,Northern Metropolitan,678500,13/05/2017,hockingstuart,4,1,2,606,-37.6987,145.0203
183,Preston,11 Murphy St,3072,Darebin,Northern Metropolitan,801000,22/04/2017,Nelson,3,1,2,620,-37.7305,144.9856
184,Preston,39 Malpas St,3072,Darebin,Northern Metropolitan,1100000,29/04/2017,Nelson,3,2,4,637,-37.7344,145.0208
185,Reservoir,29 Southernhay St,3073,Darebin,Northern Metropolitan,1010000,6/05/2017,Barry,3,1,2,649,-37.7258,145.0113
186,Reservoir,2 Fordham Rd,3073,Darebin,Northern Metropolitan,741000,6/05/2017,Ray,4,1,2,659,-37.7148,145.019
187,Preston,20 Ambon St,3072,Darebin,Northern Metropolitan,910000,22/04/2017,hockingstuart,3,1,1,674,-37.7341,145.0275
188,Reservoir,33 McMahon Rd,3073,Darebin,Northern Metropolitan,845000,8/04/2017,RW,5,2,2,676,-37.7114,145.021
189,Preston,12 Belgrove St,3072,Darebin,Northern Metropolitan,1215000,22/04/2017,hockingstuart,3,1,1,690,-37.7452,145.0192
190,Reservoir,11 Mais St,3073,Darebin,Northern Metropolitan,905000,8/04/2017,hockingstuart,4,2,2,696,-37.7074,145.0276
191,Reservoir,19 Tovey St,3073,Darebin,Northern Metropolitan,770000,8/04/2017,Ray,4,3,3,697,-37.701,144.9993
192,Reservoir,83 Whitelaw St,3073,Darebin,Northern Metropolitan,852000,6/05/2017,Love,2,1,2,705,-37.712,145.0205
193,Reservoir,5 Carson St,3073,Darebin,Northern Metropolitan,665000,8/04/2017,Love,3,1,2,874,-37.6982,145.0043
194,Preston,3/152 Tyler St,3072,Darebin,Northern Metropolitan,385000,29/04/2017,Brad,1,1,1,896,-37.7316,145.0201
195,Reservoir,72 Henty St,3073,Darebin,Northern Metropolitan,1150000,13/05/2017,Barry,4,1,2,928,-37.7179,144.9908
196,Craigieburn,28/60 Cradle Mountain Dr,3064,Hume,Northern Metropolitan,310000,15/07/2017,Ray,2,1,1,38,-37.57467,144.92229
197,Tullamarine,8/366 Melrose Dr,3043,Hume,Western Metropolitan,355000,3/06/2017,Barry,2,1,1,108,-37.68837,144.87122
